Draw Date,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Draw Machine,Ball Set
,,,,,,,,,
2015/05/30,8,10,16,24,25,44,4,Tsakani,52
,,,,,,,,,
2015/05/27,2,20,22,30,36,43,9,Dimakatso,38
,,,,,,,,,
2015/05/23,6,18,26,30,34,40,15,Tsakani,32
,,,,,,,,,
2015/05/20,12,23,27,31,34,39,49,Dimakatso,47
,,,,,,,,,
2015/05/16,5,22,23,25,40,43,31,Mooinooi,34
,,,,,,,,,
2015/05/13,12,13,17,27,35,37,21,Tsakani,27
,,,,,,,,,
2015/05/09,8,10,11,14,30,48,5,Dimakatso,33
,,,,,,,,,
2015/05/06,3,7,12,16,29,35,34,Tsakani,32
,,,,,,,,,
2015/05/02,3,6,28,35,42,43,1,Dimakatso,27
,,,,,,,,,
2015/04/29,1,19,21,28,34,45,4,Tsakani,45
,,,,,,,,,
2015/04/25,3,4,6,20,25,36,16,Mooinooi,28
,,,,,,,,,
2015/04/22,2,17,19,27,45,49,6,Tsakani,34
,,,,,,,,,
2015/04/18,2,9,18,25,29,34,14,Dimakatso,28
,,,,,,,,,
2015/04/15,17,19,26,34,35,46,3,Dimakatso,37
,,,,,,,,,
2015/04/11,5,6,22,24,32,43,9,Tsakani,32
,,,,,,,,,
2015/04/08,27,29,30,33,45,49,11,Mooinooi,50
,,,,,,,,,
2015/04/04,15,26,27,33,40,45,34,Mooinooi,41
,,,,,,,,,
2015/04/01,14,21,23,33,36,38,9,Dimakatso,41
,,,,,,,,,
2015/03/28,10,11,18,24,40,46,14,Dimakatso,55
,,,,,,,,,
2015/03/25,3,5,17,37,47,49,8,Tsakani,50
,,,,,,,,,
2015/03/21,6,13,21,24,38,48,45,Tsakani,55
,,,,,,,,,
2015/03/18,6,8,20,23,35,39,47,Dimakatso,54
,,,,,,,,,
2015/03/14,17,22,23,26,30,40,41,Mooinooi,41
,,,,,,,,,
2015/03/11,4,18,20,22,33,46,1,Mooinooi,54
,,,,,,,,,
2015/03/07,8,17,22,31,41,43,16,Tsakani,32
,,,,,,,,,
2015/03/04,13,18,20,29,33,43,27,Dimakatso,55
,,,,,,,,,
2015/02/28,7,9,17,18,27,35,44,Tsakani,39
,,,,,,,,,
2015/02/25,14,15,32,33,34,39,20,Tsakani,29
,,,,,,,,,
2015/02/21,5,27,40,41,42,46,8,Dimakatso,35
,,,,,,,,,
2015/02/18,2,4,19,34,45,47,29,Dimakatso,49
,,,,,,,,,
2015/02/14,6,32,33,38,40,49,35,Mooinooi,37
,,,,,,,,,
2015/02/11,28,32,41,43,46,49,48,Mooinooi,35
,,,,,,,,,
2015/02/07,4,15,20,30,38,42,12,Dimakatso,34
,,,,,,,,,
2015/02/04,7,8,11,16,30,44,43,Dimakatso,29
,,,,,,,,,
2015/01/31,7,9,11,15,19,26,32,Tsakani,35
,,,,,,,,,
2015/01/28,7,30,31,39,42,44,46,Tsakani,34
,,,,,,,,,
2015/01/24,6,17,27,30,40,43,11,Mooinooi,33
,,,,,,,,,
2015/01/21,9,24,27,31,34,36,2,Tsakani,45
,,,,,,,,,
2015/01/17,4,6,13,22,31,36,41,Tsakani,53
,,,,,,,,,
2015/01/14,9,11,13,16,28,41,17,Tsakani,34
,,,,,,,,,
2015/01/10,15,25,27,38,41,43,40,Mooinooi,51
,,,,,,,,,
2015/01/07,4,5,29,33,43,49,1,Mooinooi,54
,,,,,,,,,
2015/01/03,8,13,22,25,27,39,11,Dimakatso,55
,,,,,,,,,
2014/12/31,1,12,14,24,45,47,43,Mooinooi,51
,,,,,,,,,
2014/12/27,15,20,24,27,37,43,17,Tsakani,28
,,,,,,,,,
2014/12/24,16,19,27,37,38,44,46,Mooinooi,38
,,,,,,,,,
2014/12/20,10,13,34,35,39,41,33,Tsakani,27
,,,,,,,,,
2014/12/17,2,16,23,25,29,40,18,Tsakani,28
,,,,,,,,,
2014/12/13,4,9,12,26,32,39,43,Mooinooi,33
,,,,,,,,,
2014/12/10,5,10,16,17,36,42,32,Dimakatso,53
,,,,,,,,,
2014/12/06,4,9,23,39,40,48,7,Mooinooi,40
,,,,,,,,,
2014/12/03,13,15,26,28,38,48,2,Mooinooi,54
,,,,,,,,,
2014/11/29,9,24,28,36,40,45,31,Dimakatso,49
,,,,,,,,,
2014/11/26,1,3,16,17,29,48,23,Tsakani,45
,,,,,,,,,
2014/11/22,7,18,29,39,44,45,37,Tsakani,54
,,,,,,,,,
2014/11/19,3,10,16,27,42,47,41,Tsakani,49
,,,,,,,,,
2014/11/15,5,15,25,34,40,46,43,Mooinooi,53
,,,,,,,,,
2014/11/12,2,8,14,25,35,39,33,Mooinooi,41
,,,,,,,,,
2014/11/08,5,8,17,43,47,49,30,Dimakatso,35
,,,,,,,,,
2014/11/05,1,8,9,14,29,32,27,Tsakani,28
,,,,,,,,,
2014/11/01,16,24,25,30,36,39,38,Mooinooi,34
,,,,,,,,,
2014/10/29,12,16,17,25,31,33,4,Mooinooi,33
,,,,,,,,,
2014/10/25,11,14,36,40,46,48,1,Tsakani,32
,,,,,,,,,
2014/10/22,7,13,16,21,24,32,28,Mooinooi,47
,,,,,,,,,
2014/10/18,3,4,11,24,30,48,22,Tsakani,54
,,,,,,,,,
2014/10/15,14,22,26,28,44,49,39,Dimakatso,47
,,,,,,,,,
2014/10/11,7,8,18,35,40,42,23,Tsakani,52
,,,,,,,,,
2014/10/08,11,13,26,30,44,45,46,Dimakatso,29
,,,,,,,,,
2014/10/04,10,15,16,25,27,38,29,Tsakani,53
,,,,,,,,,
2014/10/01,11,17,26,36,46,49,40,Tsakani,40
,,,,,,,,,
2014/09/27,3,12,13,29,33,40,39,Mooinooi,48
,,,,,,,,,
2014/09/24,5,7,17,27,31,48,30,Dimakatso,29
,,,,,,,,,
2014/09/20,10,28,29,30,36,48,31,Dimakatso,43
,,,,,,,,,
2014/09/17,14,15,28,29,38,49,7,Mooinooi,50
,,,,,,,,,
2014/09/13,1,13,21,45,48,49,18,Tsakani,34
,,,,,,,,,
2014/09/10,4,8,16,34,38,42,18,Dimakatso,29
,,,,,,,,,
2014/09/06,5,10,29,30,32,49,15,Dimakatso,41
,,,,,,,,,
2014/09/03,12,15,16,28,41,46,1,Tsakani,54
,,,,,,,,,
2014/08/30,2,5,14,18,19,33,16,Mooinooi,27
,,,,,,,,,
2014/08/27,9,15,21,28,29,47,48,Mooinooi,37
,,,,,,,,,
2014/08/23,1,3,32,39,45,47,22,Mooinooi,29
,,,,,,,,,
2014/08/20,3,4,22,35,39,47,10,Mooinooi,53
,,,,,,,,,
2014/08/16,1,10,11,14,29,45,3,Dimakatso,27
,,,,,,,,,
2014/08/13,4,8,26,31,43,46,9,Dimakatso,49
,,,,,,,,,
2014/08/09,4,11,30,36,38,47,31,Mooinooi,34
,,,,,,,,,
2014/08/06,6,15,17,30,40,42,41,Tsakani,53
,,,,,,,,,
2014/08/02,5,7,16,27,34,41,24,Tsakani,33
,,,,,,,,,
2014/07/30,2,9,17,22,32,34,10,Dimakatso,45
,,,,,,,,,
2014/07/26,10,33,39,45,46,47,35,Dimakatso,38
,,,,,,,,,
2014/07/23,2,30,35,37,43,44,22,Dimakatso,27
,,,,,,,,,
2014/07/19,1,11,28,36,37,43,12,Mooinooi,33
,,,,,,,,,
2014/07/16,15,18,25,28,38,44,11,Dimakatso,29
,,,,,,,,,
2014/07/12,7,11,14,21,28,45,35,Mooinooi,28
,,,,,,,,,
2014/07/09,19,25,39,41,44,48,16,Tsakani,47
,,,,,,,,,
2014/07/05,3,4,5,22,35,40,24,Mooinooi,34
,,,,,,,,,
2014/07/02,3,5,6,21,35,49,29,Tsakani,37
,,,,,,,,,
2014/06/28,3,7,12,18,28,36,14,Tsakani,29
,,,,,,,,,
2014/06/25,4,24,34,36,43,49,9,Tsakani,50
,,,,,,,,,
2014/06/21,2,5,8,16,36,38,17,Mooinooi,52
,,,,,,,,,
2014/06/18,1,3,18,32,34,47,8,Mooinooi,32
,,,,,,,,,
2014/06/14,12,25,28,37,40,48,3,Mooinooi,47
,,,,,,,,,
2014/06/11,19,28,34,35,38,44,31,Dimakatso,32
,,,,,,,,,
2014/06/07,7,8,24,30,37,48,22,Dimakatso,43
,,,,,,,,,
2014/06/04,16,23,26,39,44,45,35,Dimakatso,34
,,,,,,,,,
2014/05/31,5,8,15,16,28,29,39,Dimakatso,28
,,,,,,,,,
2014/05/28,6,8,16,26,28,37,49,Mooinooi,32
,,,,,,,,,
2014/05/24,2,3,14,15,23,34,8,Mooinooi,33
,,,,,,,,,
2014/05/21,3,11,19,20,23,44,6,Tsakani,52
,,,,,,,,,
2014/05/17,3,4,25,29,33,45,24,Tsakani,50
,,,,,,,,,
2014/05/14,9,12,18,20,32,34,31,Dimakatso,41
,,,,,,,,,
2014/05/10,1,5,7,28,34,41,49,Dimakatso,41
,,,,,,,,,
